detector,descriptor,frameindex,ttc_lidar,ttc_camera
SHITOMASI,BRISK,1,12.9722,10.1047
SHITOMASI,BRISK,2,12.264,8.38261
SHITOMASI,BRISK,3,16.963,10.1841
SHITOMASI,BRISK,4,12.4855,9.87032
SHITOMASI,BRISK,5,13.2465,11.5656
SHITOMASI,BRISK,6,7.14812,10.8368
SHITOMASI,BRISK,7,34.3404,8.39747
SHITOMASI,BRISK,8,28.9577,11.1921
SHITOMASI,BRISK,9,12.2426,10.4028
SHITOMASI,BRISK,10,13.7297,9.24353
SHITOMASI,BRISK,11,11.3061,8.45474
SHITOMASI,BRISK,12,9.44414,8.75087
SHITOMASI,BRISK,13,9.22307,11.3948
SHITOMASI,BRISK,14,10.9678,7.90047
SHITOMASI,BRISK,15,8.09422,7.36474
SHITOMASI,BRISK,16,8.81392,6.81673
SHITOMASI,BRISK,17,10.2926,7.68487
SHITOMASI,BRISK,18,8.30978,6.49923
SHITOMASI,BRIEF,1,12.9722,8.44223
SHITOMASI,BRIEF,2,12.264,5.69234
SHITOMASI,BRIEF,3,16.963,5.71804
SHITOMASI,BRIEF,4,12.4855,7.8694
SHITOMASI,BRIEF,5,13.2465,7.78884
SHITOMASI,BRIEF,6,7.14812,8.35318
SHITOMASI,BRIEF,7,34.3404,6.96615
SHITOMASI,BRIEF,8,28.9577,8.03686
SHITOMASI,BRIEF,9,12.2426,9.91952
SHITOMASI,BRIEF,10,13.7297,8.33272
SHITOMASI,BRIEF,11,11.3061,6.2
SHITOMASI,BRIEF,12,9.44414,7.28272
SHITOMASI,BRIEF,13,9.22307,8.15093
SHITOMASI,BRIEF,14,10.9678,6.95048
SHITOMASI,BRIEF,15,8.09422,6.41746
SHITOMASI,BRIEF,16,8.81392,6.57335
SHITOMASI,BRIEF,17,10.2926,7.23552
SHITOMASI,BRIEF,18,8.30978,5.28342
SHITOMASI,ORB,1,12.9722,6.49668
SHITOMASI,ORB,2,12.264,6.9518
SHITOMASI,ORB,3,16.963,7.15983
SHITOMASI,ORB,4,12.4855,8.13245
SHITOMASI,ORB,5,13.2465,7.48591
SHITOMASI,ORB,6,7.14812,7.84207
SHITOMASI,ORB,7,34.3404,8.52899
SHITOMASI,ORB,8,28.9577,9.43607
SHITOMASI,ORB,9,12.2426,7.84296
SHITOMASI,ORB,10,13.7297,10.8488
SHITOMASI,ORB,11,11.3061,8.9576
SHITOMASI,ORB,12,9.44414,5.99454
SHITOMASI,ORB,13,9.22307,8.79971
SHITOMASI,ORB,14,10.9678,7.38053
SHITOMASI,ORB,15,8.09422,6.04376
SHITOMASI,ORB,16,8.81392,5.85586
SHITOMASI,ORB,17,10.2926,7.42211
SHITOMASI,ORB,18,8.30978,6.14762
SHITOMASI,FREAK,1,12.9722,11.6193
SHITOMASI,FREAK,2,12.264,7.83848
SHITOMASI,FREAK,3,16.963,6.98235
SHITOMASI,FREAK,4,12.4855,9.41321
SHITOMASI,FREAK,5,13.2465,8.65619
SHITOMASI,FREAK,6,7.14812,9.41693
SHITOMASI,FREAK,7,34.3404,6.4075
SHITOMASI,FREAK,8,28.9577,7.44812
SHITOMASI,FREAK,9,12.2426,9.98291
SHITOMASI,FREAK,10,13.7297,8.69939
SHITOMASI,FREAK,11,11.3061,8.53023
SHITOMASI,FREAK,12,9.44414,8.07111
SHITOMASI,FREAK,13,9.22307,10.0418
SHITOMASI,FREAK,14,10.9678,8.51731
SHITOMASI,FREAK,15,8.09422,7.41889
SHITOMASI,FREAK,16,8.81392,6.51634
SHITOMASI,FREAK,17,10.2926,9.26592
SHITOMASI,FREAK,18,8.30978,6.83815
HARRIS,BRISK,1,12.9722,3.60487
HARRIS,BRISK,2,12.264,31.6388
HARRIS,BRISK,3,16.963,2.40148
HARRIS,BRISK,4,12.4855,12.4757
HARRIS,BRISK,5,13.2465,8.31802
HARRIS,BRISK,6,7.14812,13.4692
HARRIS,BRISK,7,34.3404,7.22181
HARRIS,BRISK,8,28.9577,8.92798
HARRIS,BRISK,9,12.2426,inf
HARRIS,BRISK,10,13.7297,12.9403
HARRIS,BRISK,11,11.3061,12.7854
HARRIS,BRISK,12,9.44414,inf
HARRIS,BRISK,13,9.22307,7.88203
HARRIS,BRISK,14,10.9678,9.56053
HARRIS,BRISK,15,8.09422,8.36345
HARRIS,BRISK,16,8.81392,6.25646
HARRIS,BRISK,17,10.2926,1.23205
HARRIS,BRISK,18,8.30978,-0.110574
HARRIS,BRIEF,1,12.9722,7.70589
HARRIS,BRIEF,2,12.264,inf
HARRIS,BRIEF,3,16.963,4.7221
HARRIS,BRIEF,4,12.4855,12.5101
HARRIS,BRIEF,5,13.2465,6.49051
HARRIS,BRIEF,6,7.14812,8.42836
HARRIS,BRIEF,7,34.3404,4.45619
HARRIS,BRIEF,8,28.9577,4.29501
HARRIS,BRIEF,9,12.2426,3.94926
HARRIS,BRIEF,10,13.7297,4.43816
HARRIS,BRIEF,11,11.3061,11.5135
HARRIS,BRIEF,12,9.44414,10.2646
HARRIS,BRIEF,13,9.22307,8.8284
HARRIS,BRIEF,14,10.9678,7.54567
HARRIS,BRIEF,15,8.09422,6.85141
HARRIS,BRIEF,16,8.81392,5.63885
HARRIS,BRIEF,17,10.2926,-0.104564
HARRIS,BRIEF,18,8.30978,5.26805
HARRIS,ORB,1,12.9722,7.49377
HARRIS,ORB,2,12.264,31.6388
HARRIS,ORB,3,16.963,inf
HARRIS,ORB,4,12.4855,12.5803
HARRIS,ORB,5,13.2465,8.7769
HARRIS,ORB,6,7.14812,13.4692
HARRIS,ORB,7,34.3404,4.91153
HARRIS,ORB,8,28.9577,0.522514
HARRIS,ORB,9,12.2426,-0.178879
HARRIS,ORB,10,13.7297,7.74858
HARRIS,ORB,11,11.3061,inf
HARRIS,ORB,12,9.44414,inf
HARRIS,ORB,13,9.22307,9.53317
HARRIS,ORB,14,10.9678,7.54567
HARRIS,ORB,15,8.09422,5.16512
HARRIS,ORB,16,8.81392,7.29175
HARRIS,ORB,17,10.2926,0.289821
HARRIS,ORB,18,8.30978,4.50879
HARRIS,FREAK,1,12.9722,5.82518
HARRIS,FREAK,2,12.264,8.98847e+307
HARRIS,FREAK,3,16.963,5.67202
HARRIS,FREAK,4,12.4855,12.5101
HARRIS,FREAK,5,13.2465,8.59621
HARRIS,FREAK,6,7.14812,13.4692
HARRIS,FREAK,7,34.3404,10.8169
HARRIS,FREAK,8,28.9577,0.202378
HARRIS,FREAK,9,12.2426,inf
HARRIS,FREAK,10,13.7297,inf
HARRIS,FREAK,11,11.3061,96.85
HARRIS,FREAK,12,9.44414,inf
HARRIS,FREAK,13,9.22307,inf
HARRIS,FREAK,14,10.9678,9.64049
HARRIS,FREAK,15,8.09422,12.8883
HARRIS,FREAK,16,8.81392,6.21103
HARRIS,FREAK,17,10.2926,5.96958
HARRIS,FREAK,18,8.30978,5.9869
FAST,BRISK,1,12.9722,6.27811
FAST,BRISK,2,12.264,9.0112
FAST,BRISK,3,16.963,9.00945
FAST,BRISK,4,12.4855,9.94011
FAST,BRISK,5,13.2465,6.23772
FAST,BRISK,6,7.14812,11.0615
FAST,BRISK,7,34.3404,12.1262
FAST,BRISK,8,28.9577,7.19101
FAST,BRISK,9,12.2426,8.15558
FAST,BRISK,10,13.7297,10.4388
FAST,BRISK,11,11.3061,10.8914
FAST,BRISK,12,9.44414,11.3996
FAST,BRISK,13,9.22307,11.0028
FAST,BRISK,14,10.9678,10.1385
FAST,BRISK,15,8.09422,8.1693
FAST,BRISK,16,8.81392,8.03044
FAST,BRISK,17,10.2926,7.35534
FAST,BRISK,18,8.30978,7.19425
FAST,BRIEF,1,12.9722,5.63938
FAST,BRIEF,2,12.264,6.81144
FAST,BRIEF,3,16.963,3.83659
FAST,BRIEF,4,12.4855,6.99599
FAST,BRIEF,5,13.2465,2.37229
FAST,BRIEF,6,7.14812,5.99695
FAST,BRIEF,7,34.3404,9.32193
FAST,BRIEF,8,28.9577,6.2144
FAST,BRIEF,9,12.2426,7.67056
FAST,BRIEF,10,13.7297,5.75253
FAST,BRIEF,11,11.3061,6.95695
FAST,BRIEF,12,9.44414,6.29636
FAST,BRIEF,13,9.22307,7.0567
FAST,BRIEF,14,10.9678,8.21515
FAST,BRIEF,15,8.09422,6.51629
FAST,BRIEF,16,8.81392,5.42993
FAST,BRIEF,17,10.2926,6.18336
FAST,BRIEF,18,8.30978,5.90356
FAST,ORB,1,12.9722,6.50038
FAST,ORB,2,12.264,5.75777
FAST,ORB,3,16.963,5.76114
FAST,ORB,4,12.4855,6.47921
FAST,ORB,5,13.2465,3.45736
FAST,ORB,6,7.14812,7.90319
FAST,ORB,7,34.3404,6.40079
FAST,ORB,8,28.9577,6.64122
FAST,ORB,9,12.2426,7.93465
FAST,ORB,10,13.7297,7.20859
FAST,ORB,11,11.3061,6.91487
FAST,ORB,12,9.44414,7.63604
FAST,ORB,13,9.22307,8.95992
FAST,ORB,14,10.9678,7.97545
FAST,ORB,15,8.09422,7.78824
FAST,ORB,16,8.81392,8.1242
FAST,ORB,17,10.2926,6.41588
FAST,ORB,18,8.30978,5.54338
FAST,FREAK,1,12.9722,7.75095
FAST,FREAK,2,12.264,7.73768
FAST,FREAK,3,16.963,6.75334
FAST,FREAK,4,12.4855,8.23359
FAST,FREAK,5,13.2465,2.76942
FAST,FREAK,6,7.14812,7.79855
FAST,FREAK,7,34.3404,9.02134
FAST,FREAK,8,28.9577,10.4469
FAST,FREAK,9,12.2426,9.31336
FAST,FREAK,10,13.7297,13.6593
FAST,FREAK,11,11.3061,10.8902
FAST,FREAK,12,9.44414,12.2541
FAST,FREAK,13,9.22307,6.42416
FAST,FREAK,14,10.9678,9.92468
FAST,FREAK,15,8.09422,6.84312
FAST,FREAK,16,8.81392,7.55771
FAST,FREAK,17,10.2926,7.36904
FAST,FREAK,18,8.30978,6.36616
BRISK,BRISK,1,12.9722,5.55787
BRISK,BRISK,2,12.264,3.97199
BRISK,BRISK,3,16.963,5.90187
BRISK,BRISK,4,12.4855,4.37734
BRISK,BRISK,5,13.2465,2.96223
BRISK,BRISK,6,7.14812,4.27655
BRISK,BRISK,7,34.3404,6.55913
BRISK,BRISK,8,28.9577,6.75129
BRISK,BRISK,9,12.2426,6.31843
BRISK,BRISK,10,13.7297,6.34388
BRISK,BRISK,11,11.3061,5.22979
BRISK,BRISK,12,9.44414,6.47806
BRISK,BRISK,13,9.22307,6.41805
BRISK,BRISK,14,10.9678,6.73326
BRISK,BRISK,15,8.09422,6.05925
BRISK,BRISK,16,8.81392,6.22506
BRISK,BRISK,17,10.2926,5.49403
BRISK,BRISK,18,8.30978,4.76558
BRISK,BRIEF,1,12.9722,4.55044
BRISK,BRIEF,2,12.264,4.54703
BRISK,BRIEF,3,16.963,4.27213
BRISK,BRIEF,4,12.4855,4.05354
BRISK,BRIEF,5,13.2465,2.91189
BRISK,BRIEF,6,7.14812,3.90528
BRISK,BRIEF,7,34.3404,4.25287
BRISK,BRIEF,8,28.9577,5.01751
BRISK,BRIEF,9,12.2426,4.64897
BRISK,BRIEF,10,13.7297,5.03207
BRISK,BRIEF,11,11.3061,5.18608
BRISK,BRIEF,12,9.44414,5.21261
BRISK,BRIEF,13,9.22307,5.99265
BRISK,BRIEF,14,10.9678,3.90506
BRISK,BRIEF,15,8.09422,4.81228
BRISK,BRIEF,16,8.81392,4.15863
BRISK,BRIEF,17,10.2926,4.6866
BRISK,BRIEF,18,8.30978,4.67304
BRISK,ORB,1,12.9722,4.11455
BRISK,ORB,2,12.264,4.72181
BRISK,ORB,3,16.963,5.25527
BRISK,ORB,4,12.4855,2.73033
BRISK,ORB,5,13.2465,-0.118178
BRISK,ORB,6,7.14812,1.34882
BRISK,ORB,7,34.3404,7.44531
BRISK,ORB,8,28.9577,4.16944
BRISK,ORB,9,12.2426,5.57787
BRISK,ORB,10,13.7297,6.62438
BRISK,ORB,11,11.3061,5.42178
BRISK,ORB,12,9.44414,6.67134
BRISK,ORB,13,9.22307,6.28009
BRISK,ORB,14,10.9678,6.38705
BRISK,ORB,15,8.09422,6.66738
BRISK,ORB,16,8.81392,5.83447
BRISK,ORB,17,10.2926,4.41819
BRISK,ORB,18,8.30978,4.3489
BRISK,FREAK,1,12.9722,4.85152
BRISK,FREAK,2,12.264,4.83738
BRISK,FREAK,3,16.963,5.06211
BRISK,FREAK,4,12.4855,4.77449
BRISK,FREAK,5,13.2465,1.8569
BRISK,FREAK,6,7.14812,4.09962
BRISK,FREAK,7,34.3404,6.06417
BRISK,FREAK,8,28.9577,5.93185
BRISK,FREAK,9,12.2426,6.77773
BRISK,FREAK,10,13.7297,5.35514
BRISK,FREAK,11,11.3061,6.34504
BRISK,FREAK,12,9.44414,5.54767
BRISK,FREAK,13,9.22307,7.14362
BRISK,FREAK,14,10.9678,7.1955
BRISK,FREAK,15,8.09422,6.98522
BRISK,FREAK,16,8.81392,5.43553
BRISK,FREAK,17,10.2926,5.91384
BRISK,FREAK,18,8.30978,4.90558
ORB,BRISK,1,12.9722,3.16409
ORB,BRISK,2,12.264,4.80893
ORB,BRISK,3,16.963,3.49625
ORB,BRISK,4,12.4855,2.76595
ORB,BRISK,5,13.2465,1.82082
ORB,BRISK,6,7.14812,6.23126
ORB,BRISK,7,34.3404,4.83717
ORB,BRISK,8,28.9577,5.91275
ORB,BRISK,9,12.2426,7.16806
ORB,BRISK,10,13.7297,5.10671
ORB,BRISK,11,11.3061,4.6212
ORB,BRISK,12,9.44414,6.87998
ORB,BRISK,13,9.22307,5.09832
ORB,BRISK,14,10.9678,5.63745
ORB,BRISK,15,8.09422,6.68156
ORB,BRISK,16,8.81392,3.99889
ORB,BRISK,17,10.2926,4.98573
ORB,BRISK,18,8.30978,4.12535
ORB,BRIEF,1,12.9722,5.06359
ORB,BRIEF,2,12.264,4.35645
ORB,BRIEF,3,16.963,4.75181
ORB,BRIEF,4,12.4855,4.08778
ORB,BRIEF,5,13.2465,2.71407
ORB,BRIEF,6,7.14812,7.19892
ORB,BRIEF,7,34.3404,10.7291
ORB,BRIEF,8,28.9577,6.50116
ORB,BRIEF,9,12.2426,9.91196
ORB,BRIEF,10,13.7297,7.14974
ORB,BRIEF,11,11.3061,4.4173
ORB,BRIEF,12,9.44414,4.54741
ORB,BRIEF,13,9.22307,5.18528
ORB,BRIEF,14,10.9678,6.39678
ORB,BRIEF,15,8.09422,5.65346
ORB,BRIEF,16,8.81392,5.72887
ORB,BRIEF,17,10.2926,5.46793
ORB,BRIEF,18,8.30978,3.64908
ORB,ORB,1,12.9722,6.48913
ORB,ORB,2,12.264,7.27952
ORB,ORB,3,16.963,4.64312
ORB,ORB,4,12.4855,2.83612
ORB,ORB,5,13.2465,4.13293
ORB,ORB,6,7.14812,10.7903
ORB,ORB,7,34.3404,12.8174
ORB,ORB,8,28.9577,10.3463
ORB,ORB,9,12.2426,10.5332
ORB,ORB,10,13.7297,11.0419
ORB,ORB,11,11.3061,5.7485
ORB,ORB,12,9.44414,10.0944
ORB,ORB,13,9.22307,7.72602
ORB,ORB,14,10.9678,6.94647
ORB,ORB,15,8.09422,10.4804
ORB,ORB,16,8.81392,4.94286
ORB,ORB,17,10.2926,5.25746
ORB,ORB,18,8.30978,5.20943
ORB,FREAK,1,12.9722,4.55168
ORB,FREAK,2,12.264,4.35694
ORB,FREAK,3,16.963,4.75179
ORB,FREAK,4,12.4855,2.34904
ORB,FREAK,5,13.2465,1.51091
ORB,FREAK,6,7.14812,5.53688
ORB,FREAK,7,34.3404,6.12596
ORB,FREAK,8,28.9577,7.38783
ORB,FREAK,9,12.2426,5.93681
ORB,FREAK,10,13.7297,7.54342
ORB,FREAK,11,11.3061,4.77076
ORB,FREAK,12,9.44414,4.8041
ORB,FREAK,13,9.22307,3.89436
ORB,FREAK,14,10.9678,6.04755
ORB,FREAK,15,8.09422,6.69905
ORB,FREAK,16,8.81392,3.96822
ORB,FREAK,17,10.2926,4.72889
ORB,FREAK,18,8.30978,2.36402
AKAZE,AKAZE,1,12.9722,10.3711
AKAZE,AKAZE,2,12.264,11.7006
AKAZE,AKAZE,3,16.963,10.4416
AKAZE,AKAZE,4,12.4855,11.9094
AKAZE,AKAZE,5,13.2465,10.7473
AKAZE,AKAZE,6,7.14812,11.6396
AKAZE,AKAZE,7,34.3404,12.9319
AKAZE,AKAZE,8,28.9577,11.6736
AKAZE,AKAZE,9,12.2426,10.662
AKAZE,AKAZE,10,13.7297,10.6455
AKAZE,AKAZE,11,11.3061,10.6768
AKAZE,AKAZE,12,9.44414,9.14485
AKAZE,AKAZE,13,9.22307,9.38677
AKAZE,AKAZE,14,10.9678,8.24143
AKAZE,AKAZE,15,8.09422,7.85647
AKAZE,AKAZE,16,8.81392,8.60816
AKAZE,AKAZE,17,10.2926,8.04322
AKAZE,AKAZE,18,8.30978,7.89652
